ID,FLAGBINARY,PHONE,MSTAT,RSTAT,KIDS,CARDI,CARDH2,AGE,TAD,BUREAU,SEARCH,phone1,PhoneWoe,MSgrouped,Married1,Married2,MSwoe,AgeBinned,AgeGrouped,Age_d_1,Age_d_2,Age_d_3,Age_d_4,Age_d_5,Age_d_6,Age_d_7,Age_d_8,AgeWoe,PRE_1,PRE_2,PRE_3
6457,0,1,2,3,0,0,0,25,5,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6459,1,0,4,3,0,0,0,44,1,0,0,0,-.79,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.842286135947117,.842286135947117
6460,1,1,4,6,0,0,0,58,6,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6461,1,1,2,5,0,0,0,23,60,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6463,1,1,2,5,0,0,0,19,12,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6464,1,1,5,3,1,0,0,37,7,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6465,1,1,2,3,0,0,0,22,48,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6466,0,1,1,1,0,0,0,35,204,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6467,1,1,2,5,0,0,0,19,12,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6468,0,1,3,3,0,0,0,41,26,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6469,1,1,2,3,0,0,0,45,82,0,0,1,.08,2,0,1,-.5,8,8,0,0,0,0,0,0,1,0,.64,.899669177900751,.91189304171482,.91189304171482
6470,1,1,1,1,0,0,0,52,293,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6472,1,1,4,1,0,0,0,65,269,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6473,1,1,2,5,0,1,0,27,89,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.795125309967657,.814064783319128,.814064783319128
6475,1,1,3,3,1,0,0,41,137,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6478,1,1,5,3,1,0,0,37,53,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6479,0,0,2,3,0,0,0,26,25,0,0,0,-.79,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.795125309967657,.637429089320959,.637429089320959
6480,1,1,2,3,0,0,0,21,10,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6481,1,1,2,5,0,0,0,30,58,0,0,1,.08,2,0,1,-.5,4,4,0,0,0,1,0,0,0,0,.03,.836622669524142,.851356444395862,.851356444395862
6482,1,1,1,3,0,0,0,49,173,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6483,1,1,1,3,1,0,1,43,257,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6484,1,1,1,3,3,0,0,44,113,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6485,1,0,3,3,0,0,0,54,60,0,0,0,-.79,3,0,0,-.06,9,8,0,0,0,0,0,0,1,0,.64,.88041444171604,.769864684918493,.769864684918493
6486,1,1,1,3,1,0,0,28,11,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6488,1,1,1,1,2,0,0,35,204,1,1,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6489,1,1,1,3,0,0,0,57,77,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6490,1,1,1,1,1,0,0,41,35,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6491,1,1,4,6,0,0,0,58,29,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6492,1,1,1,1,2,0,0,34,65,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6494,1,1,1,1,2,0,0,33,63,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6495,0,1,2,3,0,0,0,24,72,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6496,1,1,1,3,1,1,0,28,31,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6497,1,1,1,3,0,0,0,50,12,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6499,1,1,3,2,0,0,0,35,1,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6500,1,1,1,3,4,0,0,49,341,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6501,1,0,2,2,0,1,0,53,420,0,0,0,-.79,2,0,1,-.5,9,8,0,0,0,0,0,0,1,0,.64,.899669177900751,.806051117066691,.806051117066691
6502,0,1,2,3,0,0,0,51,27,0,0,1,.08,2,0,1,-.5,9,8,0,0,0,0,0,0,1,0,.64,.899669177900751,.91189304171482,.91189304171482
6503,1,1,1,1,0,0,0,32,65,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6504,1,1,3,3,0,0,0,41,24,1,1,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6506,1,1,4,3,1,0,0,28,77,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6507,1,1,1,3,2,0,0,48,322,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6509,1,1,1,3,1,0,0,47,59,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6510,1,1,2,3,0,0,0,33,94,0,0,1,.08,2,0,1,-.5,5,5,0,0,0,0,1,0,0,0,.47,.885242092656931,.89811638334343,.89811638334343
6511,0,1,5,3,0,0,0,26,1,0,0,1,.08,3,0,0,-.06,3,3,0,0,1,0,0,0,0,0,-.28,.761134181761634,.778963511417973,.778963511417973
6514,0,1,3,3,0,0,0,40,26,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6519,1,1,1,3,2,0,0,34,12,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6520,1,1,2,5,0,0,0,25,41,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6526,1,1,2,3,0,0,0,24,9,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.729288976705409,.750869111472505,.750869111472505
6528,1,1,1,1,0,1,0,48,209,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6530,1,1,2,3,0,0,0,42,65,1,1,1,.08,2,0,1,-.5,8,8,0,0,0,0,0,0,1,0,.64,.899669177900751,.91189304171482,.91189304171482
6531,1,1,2,3,1,0,0,30,18,0,0,1,.08,2,0,1,-.5,4,4,0,0,0,1,0,0,0,0,.03,.836622669524142,.851356444395862,.851356444395862
6532,1,1,2,3,0,0,0,37,137,0,0,1,.08,2,0,1,-.5,6,6,0,0,0,0,0,1,0,0,.23,.859135408570823,.872773947519358,.872773947519358
6533,1,1,1,1,1,0,1,46,65,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6534,1,1,1,3,0,0,0,29,7,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.875146180519427,.880383261687306,.880383261687306
6538,1,1,4,3,0,0,0,58,15,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6539,1,1,5,3,0,0,1,22,1,0,0,1,.08,3,0,0,-.06,1,1,1,0,0,0,0,0,0,0,-.93,.64421453274214,.654996416051627,.654996416051627
6541,1,1,1,3,2,0,0,43,125,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6543,1,1,1,3,2,0,0,38,173,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6546,1,0,2,5,0,0,0,21,3,0,0,0,-.79,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.486418720687855,.486418720687855
6547,0,1,2,5,0,0,0,20,24,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6548,1,1,1,3,0,0,0,30,39,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.875146180519427,.880383261687306,.880383261687306
6549,1,1,2,5,0,0,0,20,24,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6550,1,0,5,3,0,0,0,28,15,0,0,0,-.79,3,0,0,-.06,3,3,0,0,1,0,0,0,0,0,-.28,.761134181761634,.585942726856379,.585942726856379
6552,1,1,1,2,2,0,0,34,106,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.91348688598486,.918882040210863,.918882040210863
6555,1,1,1,3,2,0,0,43,8,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6556,0,1,1,2,3,0,0,37,42,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6558,1,1,2,1,0,0,0,68,600,0,0,1,.08,2,0,1,-.5,10,10,0,0,0,0,0,0,0,1,1.13,.935225016919551,.94595376791692,.94595376791692
6560,0,1,2,5,0,0,0,21,16,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6561,1,1,1,3,2,0,0,45,109,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6562,1,1,1,3,1,0,0,43,41,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6564,1,1,1,3,0,0,0,68,101,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.951837072995778,.957431462758646,.957431462758646
6565,1,0,2,3,0,0,0,44,12,0,0,0,-.79,2,0,1,-.5,8,8,0,0,0,0,0,0,1,0,.64,.899669177900751,.806051117066691,.806051117066691
6566,1,0,1,3,1,0,0,25,53,0,0,0,-.79,1,1,0,.47,2,2,0,1,0,0,0,0,0,0,-.69,.786667677574701,.608644767927823,.608644767927823
6568,1,0,2,3,0,1,0,19,6,0,0,0,-.79,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.486418720687855,.486418720687855
6569,1,1,3,3,0,0,0,39,11,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6572,1,1,3,5,0,0,0,31,125,0,0,1,.08,3,0,0,-.06,4,4,0,0,0,1,0,0,0,0,.03,.807852660435989,.821753709032074,.821753709032074
6575,1,1,1,3,2,0,0,28,65,0,0,1,.08,1,1,0,.47,3,3,0,0,1,0,0,0,0,0,-.28,.841580861924015,.849082943767813,.849082943767813
6576,1,1,1,1,0,0,0,48,101,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6579,1,1,1,1,3,0,0,49,2,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.924665285666626,.930069410530946,.930069410530946
6580,0,1,1,3,1,0,0,25,84,1,1,1,.08,1,1,0,.47,2,2,0,1,0,0,0,0,0,0,-.69,.786667677574701,.794788973523434,.794788973523434
6581,1,1,3,1,1,0,0,46,21,0,0,1,.08,3,0,0,-.06,8,8,0,0,0,0,0,0,1,0,.64,.88041444171604,.892828673296522,.892828673296522
6582,1,1,1,3,0,0,0,39,14,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
6584,1,1,1,3,0,0,0,22,24,0,0,1,.08,1,1,0,.47,1,1,1,0,0,0,0,0,0,0,-.93,.751164750611961,.751917458668046,.751917458668046
6585,1,1,5,1,1,1,0,35,53,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6586,1,1,3,1,0,0,0,39,58,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.833541014172165,.846668360254363,.846668360254363
6587,1,1,2,3,0,0,0,19,12,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.688023980116284,.702259393433892,.702259393433892
6588,1,1,1,3,1,0,0,40,133,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.893029265793429,.89811889782933,.89811889782933
