ID,FLAGBINARY,PHONE,MSTAT,RSTAT,KIDS,CARDI,CARDH2,AGE,TAD,BUREAU,SEARCH,phone1,PhoneWoe,MSgrouped,Married1,Married2,MSwoe,AgeBinned,AgeGrouped,Age_d_1,Age_d_2,Age_d_3,Age_d_4,Age_d_5,Age_d_6,Age_d_7,Age_d_8,AgeWoe,PRE_3,PRE_4,PRE_1,PRE_2
4212,1,1,1,3,2,0,0,31,124,0,0,1,.08,1,1,0,.47,4,4,0,0,0,1,0,0,0,0,.03,.880383261687306,.879270767198973,.878118767936741,.865053393300208
4213,1,1,3,3,0,0,0,38,137,0,0,1,.08,3,0,0,-.06,6,6,0,0,0,0,0,1,0,0,.23,.846668360254363,.882073657042593,.849485399209432,.866607141848195
4214,1,1,5,3,0,0,0,28,19,0,0,1,.08,3,0,0,-.06,3,3,0,0,1,0,0,0,0,0,-.28,.778963511417973,.825652122761254,.79157851048338,.808628913815976
4216,1,1,1,3,2,0,0,39,2,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4217,1,1,2,3,0,0,0,23,10,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4219,1,1,2,3,0,0,0,23,18,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4221,1,1,2,3,0,0,0,22,6,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4222,1,1,2,3,0,0,0,39,172,0,0,1,.08,2,0,1,-.5,7,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4223,1,1,2,3,0,1,0,20,0,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4224,1,1,5,3,1,0,0,41,24,0,0,1,.08,3,0,0,-.06,7,6,0,0,0,0,0,1,0,0,.23,.846668360254363,.882073657042593,.849485399209432,.866607141848195
4226,1,1,1,1,2,0,0,34,52,0,0,1,.08,1,1,0,.47,5,5,0,0,0,0,1,0,0,0,.47,.918882040210863,.915281569320099,.923274489477784,.915073825328005
4227,0,1,1,3,4,0,0,44,16,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4228,1,1,2,5,0,0,0,19,12,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4229,1,1,2,2,1,0,0,35,25,0,0,1,.08,2,0,1,-.5,6,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4231,1,1,2,3,1,0,0,39,120,0,0,1,.08,2,0,1,-.5,7,6,0,0,0,0,0,1,0,0,.23,.872773947519358,.868246760779003,.870797238845082,.849021411575657
4233,1,1,1,3,0,0,0,44,108,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4234,1,1,2,5,0,0,0,27,108,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.814064783319128,.806659812892054,.81289035011903,.791043183543438
4236,1,1,1,1,2,0,0,47,124,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4237,1,1,2,3,0,0,0,28,4,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.814064783319128,.806659812892054,.81289035011903,.791043183543438
4239,1,1,1,1,1,0,0,53,22,1,1,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4240,1,1,1,3,2,0,0,36,40,0,0,1,.08,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4242,1,1,1,1,1,0,0,41,133,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4245,1,0,2,3,0,0,0,57,280,0,0,0,-.79,2,0,1,-.5,10,10,0,0,0,0,0,0,0,1,1.13,.87543957594255,.855487114017833,.805368422642746,.814216958881658
4246,1,1,4,3,0,0,0,70,57,0,0,1,.08,1,1,0,.47,10,10,0,0,0,0,0,0,0,1,1.13,.957431462758646,.951266729181168,.96948587802397,.9901044733697
4248,1,1,1,3,2,0,0,45,134,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4249,1,1,2,3,3,0,0,27,88,0,0,1,.08,2,0,1,-.5,3,3,0,0,1,0,0,0,0,0,-.28,.814064783319128,.806659812892054,.81289035011903,.791043183543438
4250,1,1,2,5,0,0,0,24,72,0,0,1,.08,2,0,1,-.5,2,2,0,1,0,0,0,0,0,0,-.69,.750869111472505,.742878297166062,.747359478525976,.744433235517536
4251,0,1,3,3,0,0,0,42,196,0,0,1,.08,3,0,0,-.06,8,8,0,0,0,0,0,0,1,0,.64,.892828673296522,.915264884213144,.886470818425339,.913217089874097
4252,1,1,1,1,0,0,0,40,124,0,0,1,.08,1,1,0,.47,7,6,0,0,0,0,0,1,0,0,.23,.89811889782933,.897043271306482,.898462974656376,.887789953312843
4253,1,1,1,1,2,0,0,46,46,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4254,0,0,1,3,3,0,0,35,6,0,0,0,-.79,1,1,0,.47,6,6,0,0,0,0,0,1,0,0,.23,.779727198512969,.777458257703807,.762011255086446,.750670980561988
4255,0,1,2,3,0,0,0,22,2,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4256,1,1,2,5,0,0,0,21,25,0,0,1,.08,2,0,1,-.5,1,1,1,0,0,0,0,0,0,0,-.93,.702259393433892,.699702049693243,.698252350148401,.717149363502374
4257,1,1,1,3,2,0,0,48,2,0,0,1,.08,1,1,0,.47,9,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
4258,1,1,1,1,3,0,0,44,312,0,0,1,.08,1,1,0,.47,8,8,0,0,0,0,0,0,1,0,.64,.930069410530946,.926372878426986,.935448393872283,.934399901338745
